图像路径,标注类别ID,标注类别名称,top-1-预测ID,top-1-预测名称,top-2-预测ID,top-2-预测名称,top-3-预测ID,top-3-预测名称,top-n预测正确,哈密瓜-预测置信度,圣女果-预测置信度,山竹-预测置信度,杨梅-预测置信度,柚子-预测置信度,柠檬-预测置信度,桂圆-预测置信度,梨-预测置信度,椰子-预测置信度,榴莲-预测置信度,火龙果-预测置信度,猕猴桃-预测置信度,石榴-预测置信度,砂糖橘-预测置信度,胡萝卜-预测置信度,脐橙-预测置信度,芒果-预测置信度,苦瓜-预测置信度,苹果-红-预测置信度,苹果-青-预测置信度,草莓-预测置信度,荔枝-预测置信度,菠萝-预测置信度,葡萄-白-预测置信度,葡萄-红-预测置信度,西瓜-预测置信度,西红柿-预测置信度,车厘子-预测置信度,香蕉-预测置信度,黄瓜-预测置信度
fruit30_split/val/哈密瓜/106.jpg,0,哈密瓜,4,柚子,5,柠檬,7,梨,False,0.0023508405,4.9450587e-06,4.040416e-07,1.139324e-06,0.9830276,0.0062326365,3.0403482e-06,0.005195038,0.0001676542,4.8193574e-06,1.3747373e-07,0.0015682928,0.00016369259,4.4113942e-05,3.4692175e-06,0.0005251287,0.0002463878,9.4055395e-08,1.5816328e-05,0.00017206071,1.8150844e-07,1.2343869e-06,3.243423e-06,1.1201442e-05,6.4479555e-06,0.00011587413,0.00012866968,4.1425835e-07,4.6851837e-06,6.217669e-07
fruit30_split/val/哈密瓜/109.jpg,0,哈密瓜,6,桂圆,0,哈密瓜,8,椰子,True,0.38112196,2.2620793e-07,5.739677e-06,1.7080209e-06,0.009013536,0.0003381227,0.5343362,0.0023871448,0.06885726,1.1800138e-06,6.7285605e-08,0.0002777829,2.0990181e-05,0.00013462848,2.7967259e-05,4.6166156e-06,0.0014761545,5.4086396e-08,0.00024079159,2.112355e-06,7.8048956e-08,1.3498897e-06,9.750311e-07,0.0015106951,4.2909367e-05,0.00015741796,6.638699e-07,3.0484532e-06,3.217701e-05,2.3868986e-06
fruit30_split/val/哈密瓜/114.jpg,0,哈密瓜,0,哈密瓜,26,西红柿,23,葡萄-白,True,0.53620106,0.0065545,0.006593606,0.012445073,0.014714562,0.0023678783,0.0070448364,0.0042980476,0.011148431,0.00027939686,0.00010163311,0.0024121595,0.000112011454,0.00031837545,0.0011575191,0.0028505884,0.013236666,0.0004914415,0.001808145,0.011868956,0.00933481,0.0071764397,0.0010388161,0.037527516,0.034991886,0.0015775696,0.26540196,0.00016203609,0.005668558,0.001115545
fruit30_split/val/哈密瓜/116.jpg,0,哈密瓜,0,哈密瓜,16,芒果,4,柚子,True,0.7525962,7.142698e-05,2.3597856e-06,1.562838e-06,0.05140187,0.00014413119,8.935731e-05,0.0023312997,0.00038190087,0.045060087,6.0863654e-06,0.028053904,2.9555752e-06,1.0715011e-05,0.0022095542,0.00014894853,0.089908205,0.002234112,1.9725616e-05,6.639788e-05,3.1976517e-05,0.00025365953,6.0032762e-05,0.0015842838,3.3540405e-06,0.00027976301,0.00072566525,2.2601515e-07,0.02193577,0.00038454978
fruit30_split/val/哈密瓜/118.png,0,哈密瓜,4,柚子,11,猕猴桃,23,葡萄-白,False,0.0050168657,0.00012685276,3.7899506e-05,2.6670874e-05,0.47891796,0.023462227,0.0011713762,0.008325712,0.003679261,0.00012411775,3.0204108e-05,0.3379196,0.0011877688,0.00096592284,0.0037147223,0.0066585466,0.004311731,0.00055505324,1.0274559e-05,0.0028282958,0.0007075434,6.7957946e-05,7.4083924e-05,0.115253285,0.00076184527,0.00039999862,0.0028934702,2.9521214e-08,0.00033459536,0.0004361433
fruit30_split/val/哈密瓜/123.jpg,0,哈密瓜,0,哈密瓜,11,猕猴桃,16,芒果,True,0.9995252,1.6229316e-07,3.422252e-08,1.9428921e-06,8.927648e-05,1.14451225e-07,4.014598e-06,3.9852944e-06,1.7761361e-07,4.908025e-08,6.4292854e-10,0.0002623754,1.523704e-08,1.515316e-07,3.7730223e-07,1.2156968e-07,9.1235466e-05,3.6239097e-08,2.6969536e-07,2.2780942e-08,5.421033e-08,7.121791e-08,1.30137545e-08,2.089877e-06,1.3285144e-06,1.627971e-05,3.132435e-07,2.2140256e-09,1.3754412e-07,6.3265006e-08
fruit30_split/val/哈密瓜/127.jpg,0,哈密瓜,0,哈密瓜,4,柚子,11,猕猴桃,True,0.89641756,0.000109874105,1.0832349e-05,0.000394422,0.048341244,0.00044635896,0.006830219,0.009891382,0.0066658063,9.8217555e-05,6.475759e-06,0.014841801,9.9860496e-05,0.006838243,2.135368e-05,0.0008047873,0.0020126814,1.23424725e-05,0.00017603704,5.061586e-05,6.562984e-05,0.004171427,0.000160706,4.3306363e-06,6.2010295e-05,0.00030367592,0.0009130749,0.00024154433,6.6154334e-06,9.522478e-07
fruit30_split/val/哈密瓜/129.jpg,0,哈密瓜,0,哈密瓜,8,椰子,5,柠檬,True,0.99317074,3.6958095e-08,1.952527e-05,6.8977847e-06,0.00025286464,0.002228096,9.0535344e-05,8.1871235e-07,0.0031717285,1.4863805e-07,5.414202e-09,7.685764e-06,1.0196975e-09,6.9239264e-05,4.074069e-08,5.2871515e-06,0.00015448227,8.440387e-08,6.3400275e-06,4.6157083e-07,7.8960375e-07,2.0179764e-08,2.2076341e-05,0.00010686284,5.5683802e-08,0.00025113596,8.8985805e-09,3.2077412e-09,3.4653324e-06,0.00043047985
fruit30_split/val/哈密瓜/131.jpg,0,哈密瓜,16,芒果,0,哈密瓜,7,梨,True,0.3906882,2.1504178e-07,1.3809122e-07,8.6478894e-07,0.0038417657,0.0017466543,0.00010252518,0.010302284,0.00020632321,0.00026921724,2.3426742e-06,2.965257e-05,2.2472702e-07,3.0296878e-05,0.0004259274,0.0005791985,0.590996,3.0719235e-07,0.00016534523,5.268363e-06,3.8025664e-05,4.425686e-06,2.1693704e-05,6.720925e-05,6.760588e-07,0.0003462813,3.500208e-06,6.6234875e-09,4.1390627e-05,8.396014e-05
fruit30_split/val/哈密瓜/133.jpg,0,哈密瓜,0,哈密瓜,8,椰子,4,柚子,True,0.943532,1.20464e-09,1.4712614e-06,5.005942e-08,0.015707629,0.0004747927,0.002263736,0.0024516725,0.034834288,4.965441e-08,2.5906253e-09,0.000252313,1.4855657e-07,6.219782e-05,3.049843e-09,4.0037965e-05,0.0003475679,1.644932e-08,2.3512677e-05,4.8700836e-06,4.805504e-09,2.8116779e-06,1.5178296e-08,7.365805e-08,1.1057994e-07,2.747508e-07,1.4238667e-07,1.02046864e-10,1.210854e-07,1.7312557e-07
